;;KLEBER; KLEBER  VIAXER  82T ;175;70; 13   ;керн-бяеяегнмйю;;;;;1350;1200;;0;;;
;;MATADOR; MATADOR  MP16  82T ;175;70; 13   ;керн-бяеяегнмйю;;;;;1620;1476;;8;;;
;;SAVA; SAVA  PERFECTA  82T ;175;70; 13   ;керн-бяеяегнмйю;;;;;1650;1512;;4;;;
;;TOYO; TOYO  VARIO  V2+  82T ;175;70;13;керн-бяеяегнмйю;;;;;1950;1845;;36;;;
;; TOYO   ; TOYO  NE03  82T ;175;70; 13   ;керн-бяеяегнмйю;;;;;1950;1845;;12;;;
;;YOKOHAMA; YOKOHAMA  AA01  82T ;175;70;13;керн-бяеяегнмйю;;;;;1950;1725;;12;;;
;; ROSAVA   ; ROSAVA  SQ-201  82H ;175;70; 13   ;керн-бяеяегнмйю;;;;;1200;1050;;180;;;
;; ROSAVA   ; ROSAVA  BC-11 ;175;70; 13   ;керн-бяеяегнмйю;;;;;1200;1035;;80;;;
;;ROSAVA; ROSAVA  аж-4 ;175;70; 13   ;керн-бяеяегнмйю;;;;;1200;1050;;72;;;
;;ROSAVA; ROSAVA  аж-20 ;175;70; 13   ;керн-бяеяегнмйю;;;;;1200;1035;;288;;;
;;ROSAVA; ROSAVA  аж-48 ;175;70; 13   ;керн-бяеяегнмйю;;;;;1200;1035;;132;;;
;;ROSAVA; ROSAVA  аж-49  guartum   ;175;70; 13   ;керн-бяеяегнмйю;;;;;1200;1050;;20;;;
;;PRIMEORI; PREMIORRI  SOLAZO  82H ;175;70; 13   ;керн-бяеяегнмйю;;;;;1200;1110;;160;;;
;;KAMA; йюлю  204  82H ;175;70; 13   ;керн-бяеяегнмйю;;;;;960;888;;0;;;
;;KAMA; йюлю  217  82H ;175;70; 13   ;керн-бяеяегнмйю;;;;;1200;1125;;48;;;
;;KAMA; йюлю  EURO  224  82T ;175;70; 13   ;керн-бяеяегнмйю;;;;;1275;1200;;28;;;
;;KAMA; йюлю  205 ;175;70; 13   ;керн-бяеяегнмйю;;;;;1200;1065;;11;;;
;;KAMA; йюлю  BREEZE  132  82T ;175;70; 13   ;керн-бяеяегнмйю;;;;;1200;1095;;22;;;
;;KAMA; йюлю  EURO  129  82T ;175;70; 13   ;керн-бяеяегнмйю;;;;;1275;1164;;80;;;
;;BELSHINA; BELSHINA  аек-100 ;175;70; 13   ;керн-бяеяегнмйю;;;;;1200;1080;;300;;;
;;BELSHINA; BELSHINA  аек-103 ;175;70;13;керн-бяеяегнмйю;;;;;1200;1065;;220;;;
;;BELSHINA; BELSHINA  ах-391 ;175;70; 13   ;керн-бяеяегнмйю;;;;;1200;1080;;12;;;
;;BELSHINA; BELSHINA  аек-253 ;175;70; 13   ;керн-бяеяегнмйю;;;;;1200;1155;;76;;;
;;KUMHO; KUMHO  KU31  80H ;185;60; 13   ;керн-бяеяегнмйю;;;;;1950;1725;;4;;;
;;KUMHO; KUMHO  KR21  84T ;185;65; 13   ;керн-бяеяегнмйю;;;;;1800;1560;;0;;;
;;ROSAVA; ROSAVA  бя-40 ;185;65; 13   ;керн-бяеяегнмйю;;;;;1200;1095;;12;;;
;;DEBICA; DEBICA  NAVIGATOR-2 ;185;70; 13   ;керн-бяеяегнмйю;;;;;1440;1320;;0;;;
;;PRIMEORI; PREMIORRI  SOLAZO   ;165;70; 14   ;керн-бяеяегнмйю;;;;;1440;1275;;6;;;
;;DEBICA; DEBICA  NAVIGATOR  2 ;165;70;14;керн-бяеяегнмйю;;;;;1950;1695;;4;;;
;;PRIMEORI; PREMIORRI  SOLAZO   ;175;65; 14   ;керн-бяеяегнмйю;;;;;1350;1209;;74;;;
;; ROSAVA   ; ROSAVA  SQ-201  82H ;175;65; 14   ;керн-бяеяегнмйю;;;;;1350;1200;;50;;;
;;KAMA; KAMA  EURO  129  82H ;175;65; 14   ;керн-бяеяегнмйю;;;;;1260;1191;;20;;;
;;KAMA;KAMA-217;175;65; 14   ;керн-бяеяегнмйю;;;;;1350;1215;;40;;;
;;AMTEL; AMTEL  T-301 ;175;65; 14   ;керн-бяеяегнмйю;;;;;1170;1050;;0;;;
;;DEBICA; DEBICA  NAVIGATOR  2 ;175;65; 14   ;керн-бяеяегнмйю;;;;;1950;1770;;12;;;
;;KLEBER; KLEBER  DYNAXER  HP3  82H ;175;65; 14   ;керн-бяеяегнмйю;;;;;1875;1695;;4;;;
;;HANKOOK; HANKOOK  K424  82H ;175;65; 14   ;керн-бяеяегнмйю;;;;;1800;1650;;4;;;
;;SAVA; SAVA  PERFECTA  82T ;175;65; 14   ;керн-бяеяегнмйю;;;;;1800;1659;;4;;;
;; BARUM   ; BARUM  BRILLANTIS  2  86T  XL ;175;65; 14   ;керн-бяеяегнмйю;;;;;0;0;;0;;;
;;GOODYEAR; GOODYEAR  EFFICIENTGRIP  COMPACT   ;175;65; 14   ;керн-бяеяегнмйю;;;;;2190;2040;;2;;;
;;CORDIANT; CORDIANT  COMFORT  82T ;175;65; 14   ;керн-бяеяегнмйю;;;;;1440;1320;;0;;;
;;CORDIANT; CORDIANT  SPORT  2  82H ;175;65; 14   ;керн-бяеяегнмйю;;;;;1200;1125;;0;;;
;;CORDIANT; CORDIANT    SPORT  82H ;175;65; 14   ;керн-бяеяегнмйю;;;;;1440;1320;;20;;;
;;CORDIANT; CORDIANT  ROAD  RUNNER  RS-1  82H ;175;65; 14   ;керн-бяеяегнмйю;;;;;1350;1260;;0;;;
;;FULDA; FULDA  ECOCONTROL  82T ;175;65; 14   ;керн-бяеяегнмйю;;;;;1350;1230;;0;;;
;; MICHELIN     ; MICHELIN  ENERGY  XM2  82T ;175;65; 14   ;керн-бяеяегнмйю;;;;;1950;1860;;0;;;
;; TOYO   ; TOYO  350 ;175;65; 14   ;керн-бяеяегнмйю;;;;;1350;1200;;0;;;
;;KUMHO; KUMHO  KH15  82H ;175;65; 14   ;керн-бяеяегнмйю;;;;;1875;1695;;4;;;
;;KUMHO; KUMHO  KR26  82H ;175;65; 14   ;керн-бяеяегнмйю;;;;;1800;1680;;0;;;
;;KOPMORAN; KOPMORAN  IMPULSER  B2 ;175;65; 14   ;керн-бяеяегнмйю;;;;;0;0;;0;;;
;;DUNLOP; DUNLOP  SP  Sport  560  84T ;175;70;14;керн-бяеяегнмйю;;;;;1695;1548;;8;;;
;;DEBICA; DEBICA  NAVIGATOR  82T ;185;60; 14   ;керн-бяеяегнмйю;;;;;1950;1770;;12;;;
;; ROSAVA   ; ROSAVA  SQ-201  82H ;185;60; 14   ;керн-бяеяегнмйю;;;;;1350;1215;;76;;;
;; ROSAVA   ; ROSAVA  S-49  QUARTUM ;185;60; 14   ;керн-бяеяегнмйю;;;;;1275;1185;;12;;;
;;PRIMEORI; PREMIORRI  SOLAZO   ;185;60; 14   ;керн-бяеяегнмйю;;;;;1380;1320;;57;;;
;;KAMA; йюлю  208  82H ;185;60; 14   ;керн-бяеяегнмйю;;;;;1260;1200;;0;;;
;;KAMA; йюлю  EURO  224  82H ;185;60; 14   ;керн-бяеяегнмйю;;;;;1350;1305;;42;;;
;;KAMA; йюлю  EURO  129   ;185;60; 14   ;керн-бяеяегнмйю;;;;;1440;1350;;40;;;
;;BELSHINA; BELSHINA  ах-555 ;185;60; 14   ;керн-бяеяегнмйю;;;;;1350;1224;;80;;;
